id,name,sales
1,Pernell Gow,280
2,Lazaro Lanmeid,186
3,Ingrid Goodluck,204
4,Roxi Di Frisco,193
5,Dosi Meriet,289
6,Candra Boutcher,149
7,Spenser Cowie,268
8,Kenton Imort,133
9,Francene Saiz,236
10,Claudette Pescud,17
11,Celestine MacGarrity,221
12,Fenelia Surtees,277
13,Eula Lydall,128
14,Miller Godmar,237
15,Cass Hanselman,19
16,Eryn Harford,242
17,Burnard Spiers,279
18,Celina Shelvey,142
19,Christoper Maric,85
20,Bengt Marchant,78
21,Barthel Parrot,25
22,Brannon Ielden,33
23,Morlee Kynoch,7
24,Wait Ponceford,153
25,Ellyn Hammell,130
26,Emmerich Bolden,12
27,Joanie Madge,22
28,Kirby Yemm,275
29,Chicky Reeman,137
30,Rawley Fulker,113
31,Sheilah Swabey,119
32,Melamie Rounding,121
33,Kissee Tindle,255
34,Haskell Barus,53
35,Valle Fowgies,189
36,Fayina Capener,65
37,Sisely Taffarello,173
38,Gena Bealing,25
39,Robbin Codeman,175
40,Danice Pusill,131
41,Morlee Pail,246
42,Amye Lars,118
43,Laney Alabaster,137
44,Sherlock Lamplugh,196
45,Lisette Stedmond,227
46,Harmonie Dyter,231
47,Sharlene Hasley,67
48,Deloris Kanzler,252
49,Adan Delia,284
50,Desmond Orehead,58
